x,y,t
0.433943872,-0.450514738,3
0.430126002,-0.44476348,3
0.42325315,-0.439012221,3
0.418671249,-0.428468728,3
0.406452463,-0.418882818,3
0.399579611,-0.412173976,3
0.391943872,-0.400671459,3
0.379725086,-0.388209921,3
0.374379152,-0.379583034,3
0.369034364,-0.369997124,3
0.363688431,-0.35945363,3
0.358342497,-0.347951114,3
0.352997709,-0.341240834,3
0.347651775,-0.332613947,3
0.338487973,-0.331656362,3
0.333906071,-0.325905104,3
0.3255063,-0.318235802,3
0.320924399,-0.303857656,3
0.317105384,-0.294273185,3
0.310232532,-0.293314162,3
0.30565063,-0.291397556,3
0.294959908,-0.285646298,3
0.291142039,-0.27030913,3
0.278923253,-0.267433501,3
0.271286369,-0.266474479,3
0.260595647,-0.260723221,3
0.257540664,-0.247304098,3
0.251431844,-0.232925953,3
0.244558992,-0.217588785,3
0.235395189,-0.208961898,3
0.229286369,-0.20321064,3
0.226995418,-0.190750539,3
0.219358534,-0.179248023,3
0.214776632,-0.168703091,3
0.20790378,-0.15911862,3
0.20179496,-0.144740474,3
0.194922108,-0.137071172,3
0.191103093,-0.126527678,3
0.181176403,-0.123652049,3
0.175066438,-0.107357297,3
